Gene name,molecular_function,biological_process,cellular_component,Gene stable ID,Description,Gene Type
ADA,"Adenosine deaminase activity
Deaminase activity
2'-deoxyadenosine deaminase activity
Hydrolase activity
Metal ion binding
Protein binding
Zinc ion binding","Purine ribonucleoside monophosphate biosynthetic process
Nucleotide metabolic process
Cell adhesion
Allantoin metabolic process
In utero embryonic development
Trophectodermal cell differentiation
Liver development
Placenta development
Germinal center b cell differentiation
Germinal center formation
Positive regulation of germinal center formation
Negative regulation of leukocyte migration
Mature b cell apoptotic process
Negative regulation of mature b cell apoptotic process
Adenosine catabolic process
Deoxyadenosine catabolic process
Amp catabolic process
Apoptotic process
Smooth muscle contraction
Positive regulation of heart rate
Calcium-mediated signaling
T cell differentiation
Lung development
Positive regulation of b cell proliferation
Gmp salvage
T cell differentiation in thymus
Positive regulation of t cell differentiation in thymus
B cell proliferation
T cell activation
Negative regulation of apoptotic process
Penile erection
Amide catabolic process
Amp salvage
Regulation of t cell differentiation
Positive regulation of t cell differentiation
Positive regulation of smooth muscle contraction
Damp catabolic process
Datp catabolic process
Hypoxanthine biosynthetic process
Inosine biosynthetic process
Xanthine biosynthetic process
Alpha-beta t cell differentiation
Positive regulation of alpha-beta t cell differentiation
Lung alveolus development
Peyer's patch development
Embryonic digestive tract development
Negative regulation of inflammatory response
Positive regulation of calcium-mediated signaling
T cell receptor signaling pathway
Positive regulation of t cell receptor signaling pathway
Positive regulation of t cell activation
Leukocyte migration
Negative regulation of penile erection
Thymocyte apoptotic process
Negative regulation of thymocyte apoptotic process
Mucus secretion
Negative regulation of mucus secretion
Response to hypoxia
Xenobiotic metabolic process
Response to purine-containing compound
Purine nucleotide salvage
Regulation of cell-cell adhesion mediated by integrin
Purine-containing compound salvage
Hypoxanthine salvage
Adenosine metabolic process
Negative regulation of adenosine receptor signaling pathway","Plasma membrane
Cytosol
Anchoring junction
Cytoplasmic vesicle lumen
Membrane
Cytoplasm
Lysosome
Cytoplasmic vesicle
External side of plasma membrane
Cell surface",ENSG00000196839,adenosine deaminase,protein_coding
ADAM29,"Metallopeptidase activity
Metalloendopeptidase activity
Metal ion binding","Proteolysis
Male gonad development
Spermatogenesis","Membrane
Plasma membrane
External side of plasma membrane
Sperm head plasma membrane",ENSG00000168594,ADAM metallopeptidase domain 29,protein_coding
ADAMTS17,"Metallopeptidase activity
Metalloendopeptidase activity
Metal ion binding","Proteolysis
Extracellular matrix organization","Extracellular region
Extracellular matrix",ENSG00000140470,ADAM metallopeptidase with thrombospondin type 1 motif 17,protein_coding
ADAMTS18,"Metallopeptidase activity
Metalloendopeptidase activity
Metal ion binding","Proteolysis
Extracellular matrix organization
Eye development
Negative regulation of platelet aggregation
Integrin-mediated signaling pathway","Extracellular region
Extracellular matrix",ENSG00000140873,ADAM metallopeptidase with thrombospondin type 1 motif 18,protein_coding
ADAMTS20,"Zinc ion binding
Metallopeptidase activity
Metalloendopeptidase activity
Metal ion binding
Endopeptidase activity","Proteolysis
Extracellular matrix organization
Apoptotic process
Signal transduction
Positive regulation of signal transduction
Melanocyte differentiation
Negative regulation of apoptotic process
Positive regulation of melanocyte differentiation
Regulation of developmental pigmentation","Extracellular region
Extracellular matrix
Collagen-containing extracellular matrix
Extracellular space",ENSG00000173157,ADAM metallopeptidase with thrombospondin type 1 motif 20,protein_coding
ADAMTS6,"Metallopeptidase activity
Metalloendopeptidase activity
Metal ion binding","Proteolysis
Extracellular matrix organization
Kidney development
Cardiac septum development
Heart development
Aorta development
Coronary vasculature development","Extracellular region
Extracellular matrix",ENSG00000049192,ADAM metallopeptidase with thrombospondin type 1 motif 6,protein_coding
ADAMTS9-AS2,,,,ENSG00000241684,ADAMTS9 antisense RNA 2,lncRNA
ADAMTSL1,Hydrolase activity,Extracellular matrix organization,"Extracellular region
Endoplasmic reticulum lumen
Cytoplasm",ENSG00000178031,ADAMTS like 1,protein_coding
ADAMTSL3,Protein binding,Extracellular matrix organization,"Extracellular region
Intracellular membrane-bounded organelle
Extracellular matrix",ENSG00000291606,ADAMTS like 3,protein_coding
ADAMTSL4-AS2,,,,ENSG00000237781,ADAMTSL4 antisense RNA 2,lncRNA
ADARB1,"Rna binding
Adenosine deaminase activity
Metal ion binding
Hydrolase activity
Protein binding
Double-stranded rna binding
Mrna binding
Double-stranded rna adenosine deaminase activity
Trna-specific adenosine deaminase activity","Rna processing
Mrna processing
Defense response to virus
Innate immune response
Regulation of cell cycle
Negative regulation of cell population proliferation
Negative regulation of cell migration
Positive regulation of viral genome replication
Negative regulation of protein kinase activity by regulation of protein phosphorylation
Adenosine to inosine editing
Neuromuscular synaptic transmission
Base conversion or substitution editing
Facial nerve morphogenesis
Hypoglossal nerve morphogenesis
Spinal cord ventral commissure morphogenesis
Multicellular organism growth
Neuromuscular process controlling posture
Innervation
Muscle tissue morphogenesis
Motor behavior
Motor neuron apoptotic process","Nucleus
Nucleoplasm
Cytosol
Synapse
Cytoplasm
Nucleolus",ENSG00000197381,adenosine deaminase RNA specific B1,protein_coding
ADARB2,"Rna binding
Adenosine deaminase activity
Metal ion binding
Hydrolase activity
Double-stranded rna binding
Double-stranded rna adenosine deaminase activity
Trna-specific adenosine deaminase activity
Single-stranded rna binding","Rna processing
Mrna processing
Adenosine to inosine editing","Nucleus
Cytoplasm
Nucleolus",ENSG00000185736,adenosine deaminase RNA specific B2 (inactive),protein_coding
ADCY1,"Phosphorus-oxygen lyase activity
Metal ion binding
Lyase activity
Atp binding
Adenylate cyclase activity
Calmodulin binding
Calcium- and calmodulin-responsive adenylate cyclase activity","Intracellular signal transduction
Cyclic nucleotide biosynthetic process
Camp biosynthetic process
Rhythmic process
Positive regulation of long-term synaptic potentiation
Adenylate cyclase-activating g protein-coupled receptor signaling pathway
Camp-mediated signaling
Regulation of circadian rhythm
Cellular response to forskolin
Cellular response to calcium ion
Positive regulation of creb transcription factor activity
Neuroinflammatory response
Axonogenesis
Long-term memory
Circadian rhythm
Response to xenobiotic stimulus
Modulation of chemical synaptic transmission
Presynaptic modulation of chemical synaptic transmission","Membrane
Plasma membrane
Cytoplasm
Membrane raft
Presynapse
Extracellular exosome
Postsynaptic density
Schaffer collateral - ca1 synapse
Hippocampal mossy fiber to ca3 synapse
Postsynaptic density membrane
Glutamatergic synapse",ENSG00000164742,adenylate cyclase 1,protein_coding
ADCY5,"Adenylate cyclase activity
Phosphorus-oxygen lyase activity
Metal ion binding
Lyase activity
Atp binding
Adenylate cyclase binding
Scaffold protein binding","Intracellular signal transduction
Cyclic nucleotide biosynthetic process
Camp biosynthetic process
Adenylate cyclase-activating g protein-coupled receptor signaling pathway
G protein-coupled adenosine receptor signaling pathway
Adenylate cyclase-activating dopamine receptor signaling pathway
Adenylate cyclase-inhibiting dopamine receptor signaling pathway
Locomotory behavior
Neuromuscular process controlling balance
Adenylate cyclase-inhibiting g protein-coupled receptor signaling pathway
Positive regulation of cytosolic calcium ion concentration
Cellular response to forskolin
Regulation of insulin secretion involved in cellular response to glucose stimulus","Plasma membrane
Membrane
Cell projection
Cilium",ENSG00000173175,adenylate cyclase 5,protein_coding
ADD1,"Structural constituent of cytoskeleton
Rna binding
Actin binding
Protein binding
Calmodulin binding
Cadherin binding
Actin filament binding
Protein homodimerization activity
Protein heterodimerization activity
Rna polymerase ii-specific dna-binding transcription factor binding
Spectrin binding
Protein dimerization activity","Cytoskeleton organization
Cell morphogenesis
In utero embryonic development
Cell volume homeostasis
Hemoglobin metabolic process
Erythrocyte differentiation
Multicellular organism growth
Homeostasis of number of cells within a tissue
Cellular response to calcium ion
Positive regulation of establishment of endothelial barrier
Positive regulation of adherens junction organization
Positive regulation of protein binding
Barbed-end actin filament capping
Actin cytoskeleton organization
Actin filament bundle assembly","Plasma membrane
Nucleoplasm
Nuclear body
Cytoskeleton
Adherens junction
Membrane
Synapse
Nucleus
Cytoplasm
Focal adhesion
Cytosol
Postsynaptic density
F-actin capping protein complex",ENSG00000087274,adducin 1,protein_coding
ADGRF3,"G protein-coupled receptor activity
Transmembrane signaling receptor activity","G protein-coupled receptor signaling pathway
Cell surface receptor signaling pathway
Adenylate cyclase-activating g protein-coupled receptor signaling pathway",Membrane,ENSG00000173567,adhesion G protein-coupled receptor F3,protein_coding
ADGRG6,"G protein-coupled receptor activity
Transmembrane signaling receptor activity
Laminin binding
Extracellular matrix binding
Collagen binding
Endopeptidase activity","G protein-coupled receptor signaling pathway
Cell surface receptor signaling pathway
Adenylate cyclase-activating g protein-coupled receptor signaling pathway
Camp-mediated signaling
Myelination
Schwann cell differentiation
Myelination in peripheral nervous system
Nervous system development
Heart trabecula formation","Membrane
Plasma membrane
Endoplasmic reticulum membrane
Cytoplasm
Cell surface",ENSG00000112414,adhesion G protein-coupled receptor G6,protein_coding
ADGRL2,"G protein-coupled receptor activity
Carbohydrate binding
Transmembrane signaling receptor activity
Latrotoxin receptor activity","G protein-coupled receptor signaling pathway
Cell surface receptor signaling pathway
Adenylate cyclase-activating g protein-coupled receptor signaling pathway","Membrane
Plasma membrane",ENSG00000117114,adhesion G protein-coupled receptor L2,protein_coding
ADH1B,"Zinc ion binding
Oxidoreductase activity
Metal ion binding
Protein binding
All-trans-retinol dehydrogenase (nad+) activity
Alcohol dehydrogenase (nad+) activity
Alcohol dehydrogenase (nad+) activity, zinc-dependent","Lipid metabolic process
Retinol metabolic process
Retinoid metabolic process
Retinoic acid metabolic process","Cytoplasm
Cytosol
Nucleoplasm
Plasma membrane",ENSG00000196616,"alcohol dehydrogenase 1B (class I), beta polypeptide",protein_coding
ADH5P4,,,,ENSG00000233859,ADH5 pseudogene 4,processed_pseudogene
ADO,"Oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen
Metal ion binding
Protein binding
Iron ion binding
Dioxygenase activity
Cysteamine dioxygenase activity",Cellular response to hypoxia,"Mitochondrion
Cytosol",ENSG00000181915,2-aminoethanethiol dioxygenase,protein_coding
ADRA2A,"G protein-coupled receptor activity
Adrenergic receptor activity
Alpha2-adrenergic receptor activity
Protein binding
Guanyl-nucleotide exchange factor activity
Protein homodimerization activity
Protein heterodimerization activity
Protein kinase binding
Alpha-1b adrenergic receptor binding
Alpha-2c adrenergic receptor binding
Thioesterase binding
Heterotrimeric g-protein binding
Epinephrine binding
Norepinephrine binding","G protein-coupled receptor signaling pathway
Regulation of vasoconstriction
Regulation of smooth muscle contraction
Platelet activation
Positive regulation of cytokine production
Positive regulation of cell migration
Positive regulation of map kinase activity
Rho protein signal transduction
Negative regulation of insulin secretion
Negative regulation of calcium ion transmembrane transporter activity
Cellular response to hormone stimulus
Ras protein signal transduction
Actin cytoskeleton organization
Activation of protein kinase activity
Positive regulation of mapk cascade
Activation of protein kinase b activity
Positive regulation of membrane protein ectodomain proteolysis
Positive regulation of cell population proliferation
Negative regulation of lipid catabolic process
Glucose homeostasis
Adenylate cyclase-activating g protein-coupled receptor signaling pathway
Positive regulation of epidermal growth factor receptor signaling pathway
Positive regulation of wound healing
Adenylate cyclase-activating adrenergic receptor signaling pathway
Dna replication
Adenylate cyclase-inhibiting g protein-coupled receptor signaling pathway
Female pregnancy
Negative regulation of norepinephrine secretion
Negative regulation of epinephrine secretion
Receptor transactivation
Vasodilation
Fear response
Positive regulation of potassium ion transport
Response to morphine
Negative regulation of calcium ion-dependent exocytosis
Intestinal absorption
Thermoception
Negative regulation of calcium ion transport
Negative regulation of insulin secretion involved in cellular response to glucose stimulus
Negative regulation of uterine smooth muscle contraction
Adrenergic receptor signaling pathway
Adenylate cyclase-inhibiting adrenergic receptor signaling pathway
Phospholipase c-activating adrenergic receptor signaling pathway
Response to alcohol
Presynaptic modulation of chemical synaptic transmission","Membrane
Cytoplasm
Plasma membrane
Receptor complex
Basolateral plasma membrane
Neuronal cell body
Axon terminus
Postsynaptic membrane
Presynaptic active zone membrane
Dopaminergic synapse
Postsynaptic density membrane
Glutamatergic synapse
Gaba-ergic synapse",ENSG00000150594,adrenoceptor alpha 2A,protein_coding
